timestamp,appliance,vrms,irms,power_watts,power_factor,fault_status
2026-07-21 00:12:40,LED TV,228.69,0.443,99.36,0.98,Healthy
2026-07-21 00:12:40,Water Pump,229.99,4.059,653.48,0.7,Healthy
2026-07-21 00:13:40,Microwave Oven,230.96,5.415,1188.03,0.95,Healthy
2026-07-21 00:13:40,1.5 Ton AC,228.58,7.64,1484.37,0.85,Healthy
2026-07-21 00:14:40,LED TV,232.31,0.436,99.31,0.98,Healthy
2026-07-21 00:14:40,Gaming PC,229.75,1.919,436.57,0.99,Healthy
2026-07-21 00:14:40,Washing Machine,232.57,2.707,503.72,0.8,Healthy
2026-07-21 00:15:40,Mixer Grinder,229.62,4.649,800.66,0.75,Healthy
2026-07-21 00:16:40,Water Pump,227.6,4.854,773.26,0.7,Healthy
2026-07-21 00:16:40,Microwave Oven,229.17,5.578,1214.43,0.95,Healthy
2026-07-21 00:16:40,Ceiling Fan,230.36,0.323,70.59,0.95,Overvoltage Sag
2026-07-21 00:17:40,Water Heater,229.04,8.745,2003.05,1.0,Healthy
2026-07-21 00:17:40,1.5 Ton AC,229.4,7.651,1491.92,0.85,Healthy
2026-07-21 00:18:40,LED TV,231.0,0.443,100.25,0.98,Healthy
2026-07-21 00:18:40,Water Heater,227.76,8.79,2001.96,1.0,Healthy
2026-07-21 00:18:40,Iron Box,230.02,4.366,1004.22,1.0,Healthy
2026-07-21 00:19:40,Ceiling Fan,229.56,0.345,75.33,0.95,Healthy
2026-07-21 00:19:40,Iron Box,227.24,4.389,997.38,1.0,Healthy
2026-07-21 00:20:40,Mixer Grinder,229.58,3.835,660.27,0.75,Healthy
2026-07-21 00:21:40,Water Heater,229.08,8.714,1996.33,1.0,Healthy
2026-07-21 00:21:40,EV Charger,230.35,14.441,3293.2,0.99,Healthy
2026-07-21 00:21:40,Washing Machine,228.12,2.953,538.93,0.8,Healthy
2026-07-21 00:22:40,Gaming PC,235.39,1.916,446.52,0.99,Healthy
2026-07-21 00:23:40,EV Charger,230.6,14.495,3309.0,0.99,Healthy
2026-07-21 00:24:40,Iron Box,228.13,4.442,1013.45,1.0,Healthy
2026-07-21 00:24:40,LED TV,231.71,0.436,98.93,0.98,Healthy
2026-07-21 00:25:40,Washing Machine,228.99,2.869,525.61,0.8,Healthy
2026-07-21 00:26:40,Water Pump,232.48,4.785,778.6,0.7,Healthy
2026-07-21 00:27:40,LED TV,230.89,0.446,100.98,0.98,Healthy
2026-07-21 00:27:40,Iron Box,229.57,4.33,994.02,1.0,Healthy
2026-07-21 00:27:40,Microwave Oven,232.07,5.439,1199.07,0.95,Healthy
2026-07-21 00:28:40,LED TV,231.24,0.435,98.67,0.98,Healthy
2026-07-21 00:28:40,Microwave Oven,232.37,5.421,1196.81,0.95,Healthy
2026-07-21 00:28:40,Hair Dryer,229.35,7.808,1790.71,1.0,Healthy
2026-07-21 00:29:40,Gaming PC,229.2,1.804,409.3,0.99,Healthy
2026-07-21 00:30:40,Ceiling Fan,233.95,0.344,76.55,0.95,Healthy
2026-07-21 00:30:40,1.5 Ton AC,231.62,7.842,1543.9,0.85,Healthy
2026-07-21 00:30:40,Iron Box,230.34,4.347,1001.25,1.0,Healthy
2026-07-21 00:31:40,Mixer Grinder,230.63,4.4,761.16,0.75,Healthy
2026-07-21 00:32:40,1.5 Ton AC,230.71,7.66,1502.17,0.85,Healthy
2026-07-21 00:32:40,Hair Dryer,233.27,7.64,1782.25,1.0,Healthy
2026-07-21 00:33:40,EV Charger,234.09,14.263,3305.5,0.99,Healthy
2026-07-21 00:34:40,Ceiling Fan,229.2,0.362,78.78,0.95,Healthy
2026-07-21 00:34:40,Hair Dryer,233.48,7.689,1795.2,1.0,Healthy
2026-07-21 00:35:40,Washing Machine,233.58,2.4,448.49,0.8,Healthy
2026-07-21 00:36:40,LED TV,230.54,0.442,99.89,0.98,Healthy
2026-07-21 00:36:40,Iron Box,227.28,4.401,1000.29,1.0,Healthy
2026-07-21 00:36:40,Refrigerator,230.36,1.322,258.95,0.85,Healthy
2026-07-21 00:37:40,Mixer Grinder,230.09,4.676,806.93,0.75,Healthy
2026-07-21 00:37:40,Iron Box,229.21,4.349,996.92,1.0,Healthy
2026-07-21 00:37:40,Water Heater,227.77,8.81,2006.68,1.0,Healthy
2026-07-21 00:38:40,Ceiling Fan,228.74,0.344,74.84,0.95,Healthy
2026-07-21 00:38:40,Hair Dryer,231.3,7.823,1809.55,1.0,Healthy
2026-07-21 00:39:40,LED TV,227.22,0.451,100.44,0.98,Healthy
2026-07-21 00:40:40,Gaming PC,228.65,1.817,411.26,0.99,Healthy
2026-07-21 00:41:40,Gaming PC,229.27,1.879,426.39,0.99,Healthy
2026-07-21 00:42:40,Gaming PC,230.75,1.686,385.15,0.99,Healthy
2026-07-21 00:43:40,Washing Machine,227.69,2.384,434.29,0.8,Healthy
2026-07-21 00:43:40,Hair Dryer,230.74,7.761,1790.79,1.0,Healthy
2026-07-21 00:44:40,Gaming PC,231.73,2.08,477.2,0.99,Healthy
2026-07-21 00:44:40,Water Pump,232.86,4.854,791.24,0.7,Healthy
2026-07-21 00:44:40,Washing Machine,232.41,3.237,601.76,0.8,Healthy
2026-07-21 00:45:40,Hair Dryer,230.02,7.815,1797.52,1.0,Healthy
2026-07-21 00:46:40,Water Heater,231.49,8.663,2005.29,1.0,Healthy
2026-07-21 00:46:40,Refrigerator,228.85,1.14,221.69,0.85,Healthy
2026-07-21 00:46:40,Gaming PC,232.03,2.052,471.28,0.99,Healthy
2026-07-21 00:47:40,Microwave Oven,231.03,5.465,1199.47,0.95,Healthy
2026-07-21 00:48:40,Microwave Oven,229.01,5.526,1202.23,0.95,Healthy
2026-07-21 00:49:40,Gaming PC,232.65,1.858,427.9,0.99,Healthy
2026-07-21 00:50:40,Water Pump,230.27,3.381,545.01,0.7,Healthy
2026-07-21 00:50:40,Hair Dryer,231.11,7.771,1796.03,1.0,Healthy
2026-07-21 00:50:40,LED TV,235.67,0.432,99.71,0.98,Healthy
2026-07-21 00:51:40,Mixer Grinder,229.68,3.413,587.89,0.75,Healthy
2026-07-21 00:52:40,1.5 Ton AC,229.43,7.369,1437.09,0.85,Healthy
2026-07-21 00:52:40,Ceiling Fan,229.34,0.34,73.98,0.95,Healthy
2026-07-21 00:52:40,LED TV,232.4,0.436,99.19,0.98,Healthy
2026-07-21 00:53:40,Washing Machine,226.42,2.779,503.29,0.8,Healthy
2026-07-21 00:53:40,Hair Dryer,229.01,7.878,1804.08,1.0,Healthy
2026-07-21 00:53:40,Microwave Oven,232.63,5.494,1214.07,0.95,Healthy
2026-07-21 00:54:40,EV Charger,226.76,14.704,3300.85,0.99,Healthy
2026-07-21 00:54:40,Refrigerator,228.59,1.205,234.12,0.85,Healthy
2026-07-21 00:54:40,Microwave Oven,228.59,5.65,1227.07,0.95,Healthy
2026-07-21 00:55:40,Mixer Grinder,234.75,4.686,825.02,0.75,Healthy
2026-07-21 00:56:40,Hair Dryer,229.39,7.928,1818.57,1.0,Healthy
2026-07-21 00:56:40,EV Charger,230.31,14.463,3297.66,0.99,Healthy
2026-07-21 00:56:40,Mixer Grinder,229.82,4.604,793.56,0.75,Healthy
