timestamp,vrms,irms,power,delta_p,wh,device_id
5000,225.24,0.2779,62.6,60.65,0.0104,Bulb-60W
5500,225.99,0.2756,62.28,-0.32,0.019,Bulb-60W
6000,227.25,0.2701,61.38,-0.9,0.0275,Bulb-60W
6500,227.74,0.265,60.34,-1.04,0.0359,Bulb-60W
7000,227.91,0.2748,62.63,2.29,0.0446,Bulb-60W
7500,227.09,0.2681,60.88,-1.76,0.0531,Bulb-60W
8000,228.09,0.2645,60.32,-0.55,0.0615,Bulb-60W
8500,226.19,0.2712,61.35,1.02,0.07,Bulb-60W
9000,225.12,0.2651,59.68,-1.66,0.0783,Bulb-60W
9500,225.03,0.2623,59.03,-0.65,0.0865,Bulb-60W
10000,228.11,0.255,58.17,-0.86,0.0945,Bulb-60W
10500,230.09,0.2671,61.46,3.3,0.1031,Bulb-60W
11000,229.05,0.263,60.24,-1.23,0.1114,Bulb-60W
11500,230.5,0.2695,62.12,1.88,0.1201,Bulb-60W
12000,230.96,0.2723,62.89,0.77,0.1288,Bulb-60W
12500,229.66,0.2549,58.55,-4.34,0.1369,Bulb-60W
13000,226.56,0.2692,60.99,2.44,0.1454,Bulb-60W
13500,229.31,0.2658,60.96,-0.03,0.1539,Bulb-60W
14000,228.13,0.2628,59.96,-0.99,0.1622,Bulb-60W
14500,225.54,0.2759,62.23,2.27,0.1708,Bulb-60W
15000,226.46,0.2742,62.1,-0.13,0.1795,Bulb-60W
15500,227.07,0.2751,62.46,0.36,0.1881,Bulb-60W
16000,226.58,0.2726,61.76,-0.7,0.1967,Bulb-60W
16500,229.26,0.2753,63.12,1.36,0.2055,Bulb-60W
17000,226.6,0.2658,60.23,-2.89,0.2139,Bulb-60W
17500,230.35,0.2735,63.01,2.78,0.2226,Bulb-60W
18000,225.17,0.2817,63.43,0.42,0.2314,Bulb-60W
18500,229.02,0.2633,60.31,-3.11,0.2398,Bulb-60W
19000,228.91,0.2729,62.46,2.15,0.2485,Bulb-60W
19500,228.26,0.2692,61.44,-1.02,0.257,Bulb-60W
20000,226.08,0.2742,61.99,0.54,0.2656,Bulb-60W
20500,225.45,0.2631,59.31,-2.67,0.2738,Bulb-60W
21000,226.87,0.2769,62.82,3.5,0.2826,Bulb-60W
21500,228.69,0.2623,59.98,-2.83,0.2909,Bulb-60W
22000,230.84,0.2585,59.68,-0.3,0.2992,Bulb-60W
22500,226.8,0.272,61.68,2.0,0.3078,Bulb-60W
23000,229.67,0.2609,59.92,-1.76,0.3161,Bulb-60W
23500,230.01,0.2675,61.52,1.6,0.3246,Bulb-60W
24000,228.61,0.2706,61.86,0.35,0.3332,Bulb-60W
24500,225.98,0.2777,62.76,0.9,0.3419,Bulb-60W
25000,230.62,0.2635,60.77,-1.99,0.3504,Bulb-60W
25500,229.79,0.272,62.49,1.73,0.3591,Bulb-60W
26000,227.51,0.2675,60.87,-1.62,0.3675,Bulb-60W
26500,229.78,0.2606,59.89,-0.98,0.3758,Bulb-60W
27000,226.3,0.2644,59.84,-0.05,0.3841,Bulb-60W
27500,227.16,0.2678,60.82,0.99,0.3926,Bulb-60W
28000,225.57,0.2597,58.59,-2.24,0.4007,Bulb-60W
28500,229.3,0.2707,62.08,3.49,0.4093,Bulb-60W
29000,227.21,0.2739,62.24,0.17,0.418,Bulb-60W
29500,229.39,0.2724,62.48,0.23,0.4267,Bulb-60W
30000,228.53,0.2747,62.79,0.31,0.4354,Bulb-60W
30500,225.58,0.2737,61.74,-1.05,0.444,Bulb-60W
31000,230.16,0.2729,62.81,1.07,0.4527,Bulb-60W
31500,230.29,0.2639,60.77,-2.05,0.4611,Bulb-60W
32000,225.17,0.2727,61.4,0.64,0.4697,Bulb-60W
32500,226.51,0.2681,60.72,-0.68,0.4781,Bulb-60W
33000,226.49,0.2677,60.64,-0.08,0.4865,Bulb-60W
33500,230.37,0.2659,61.25,0.61,0.495,Bulb-60W
34000,229.67,0.256,58.79,-2.46,0.5032,Bulb-60W
34500,228.75,0.2697,61.69,2.9,0.5117,Bulb-60W
40000,227.03,0.0733,16.65,14.81,0.5152,Phone-Charger
