timestamp,vrms,irms,power,delta_p,wh,event,device_edge
0,230.14,0.0051,1.17,1.17,0.0002,none,-
500,226.1,0.0006,0.14,-1.02,0.0002,none,-
1000,227.45,0.0075,1.71,1.57,0.0004,none,-
1500,229.85,0.0065,1.5,-0.21,0.0006,none,-
2000,229.49,0.0029,0.66,-0.84,0.0007,none,-
2500,227.93,0.0039,0.88,0.22,0.0008,none,-
3000,230.13,0.0028,0.63,-0.25,0.0009,none,-
3500,230.7,0.0076,1.75,1.12,0.0012,none,-
4000,229.11,0.0071,1.64,-0.11,0.0014,none,-
4500,230.61,0.0085,1.95,0.31,0.0017,none,-
5000,225.24,0.2779,62.6,60.65,0.0104,ON,Bulb-60W
5500,225.99,0.2756,62.28,-0.32,0.019,none,-
6000,227.25,0.2701,61.38,-0.9,0.0275,none,-
6500,227.74,0.265,60.34,-1.04,0.0359,none,-
7000,227.91,0.2748,62.63,2.29,0.0446,none,-
7500,227.09,0.2681,60.88,-1.76,0.0531,none,-
8000,228.09,0.2645,60.32,-0.55,0.0615,none,-
8500,226.19,0.2712,61.35,1.02,0.07,none,-
9000,225.12,0.2651,59.68,-1.66,0.0783,none,-
9500,225.03,0.2623,59.03,-0.65,0.0865,none,-
10000,228.11,0.255,58.17,-0.86,0.0945,none,-
10500,230.09,0.2671,61.46,3.3,0.1031,none,-
11000,229.05,0.263,60.24,-1.23,0.1114,none,-
11500,230.5,0.2695,62.12,1.88,0.1201,none,-
12000,230.96,0.2723,62.89,0.77,0.1288,none,-
12500,229.66,0.2549,58.55,-4.34,0.1369,none,-
13000,226.56,0.2692,60.99,2.44,0.1454,none,-
13500,229.31,0.2658,60.96,-0.03,0.1539,none,-
14000,228.13,0.2628,59.96,-0.99,0.1622,none,-
14500,225.54,0.2759,62.23,2.27,0.1708,none,-
15000,226.46,0.2742,62.1,-0.13,0.1795,none,-
15500,227.07,0.2751,62.46,0.36,0.1881,none,-
16000,226.58,0.2726,61.76,-0.7,0.1967,none,-
16500,229.26,0.2753,63.12,1.36,0.2055,none,-
17000,226.6,0.2658,60.23,-2.89,0.2139,none,-
17500,230.35,0.2735,63.01,2.78,0.2226,none,-
18000,225.17,0.2817,63.43,0.42,0.2314,none,-
18500,229.02,0.2633,60.31,-3.11,0.2398,none,-
19000,228.91,0.2729,62.46,2.15,0.2485,none,-
19500,228.26,0.2692,61.44,-1.02,0.257,none,-
